TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=ATLASBANG,ATLASBANG,0,0,0,104.2,104.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=IICICL,IICICL,0,0,0,0,10,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ATCSLGF,ATCSLGF,0,0,0,9.7,9.7,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DAFODILCOM,DAFODILCOM,0,0,0,65.8,65.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=DBH1STMF,DBH1STMF,0,0,0,6.9,6.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=RELIANCE1,RELIANCE1,0,0,0,9.9,9.9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=WATACHEM,WATACHEM,0,0,0,200.2,200.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=CNATEX,CNATEX,0,0,0,10.2,10.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=TUNGHAI,TUNGHAI,0,0,0,5.8,5.8,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ZAHINTEX,ZAHINTEX,0,0,0,9,9,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=ARGONDENIM,ARGONDENIM,0,0,0,18.2,18.2,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=AIL,AIL,0,0,0,53.4,53.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=BXSYNTH,BXSYNTH,0,0,0,8.4,8.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=TAMIJTEX,TAMIJTEX,0,0,0,178.3,178.3,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=AMANFEED,AMANFEED,0,0,0,33.5,33.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=AFCAGRO,AFCAGRO,0,0,0,23.5,23.5,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=CROWNCEMNT,CROWNCEMNT,0,0,0,74.4,74.4,--,0,0,0
https://www.dsebd.org/displayCompany.php?name=TALLUSPIN,TALLUSPIN,0,0,0,9.9,9.9,--,0,0,0
